Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

GameplayRuntime: booted mode=campaign turn=1 player=player_gang pending=
GameplayRuntime: mode=campaign pending=
GameplayRuntime: debug HQ assault launched mission=debug_hq_assault force=debug_hq_force state=traveling_outbound
GameplayRuntime: after_launch force=debug_hq_force state=traveling_outbound campaign_pos=(5.0, 0.0) segment=0 into=5.0 pending=
GameplayRuntime: after_turn force=debug_hq_force state=traveling_outbound campaign_pos=(10.0, 0.0) segment=0 into=10.0 pending=
GameplayRuntime: after_turn force=debug_hq_force state=at_destination campaign_pos=(12.0, 0.0) segment=0 into=12.0 pending=debug_hq_assault
TacticalDeploymentController: auto-placed 1 attacker vehicle(s)
GameplayRuntime: mode=tactical_deployment pending=
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: deployed player_soldier at (82.0, 25.0)
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: deployed player_soldier_shotgun at (84.0, 25.0)
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: invalid placement code=outside_deployment_zone
TacticalDeploymentController: deployed player_soldier_smg at (77.0, 26.0)
TacticalDeploymentController: attacker side attacker committed
TacticalDeploymentController: defender AI deployed and committed side defender posture=even
GameplayRuntime: mode=tactical_active pending=
CACHE_BOUNDARY_CHECKS PASS
PIXEL_REVIEW_ACTIVE participants=6
FIXED_REVIEW after ticks=604 shots=28
